"V2","V4"
"ZNF263","TLR5"
"ZNF263","TNFRSF1A"
"ZNF263","TP53"
"ZNF263","TPD52"
"ZNF263","TPD52L2"
"ZNF263","C3"
"ZNF263","ROCK1P1"
"ZNF263","TMEM242"
"ZNF263","UBTF"
"ZNF263","CA5A"
"ZNF263","ZFAND5"
"ZNF263","PHF23"
"ZNF263","MFSD11"
"ZNF263","C1orf35"
"ZNF263","DDX39B"
"ZNF263","PAGR1"
"ZNF263","ARMH3"
"ZNF263","NEIL1"
"ZNF263","PARP8"
"ZNF263","RTL10"
"ZNF263","ZNF668"
"ZNF263","MCTP1"
"ZNF263","DNAJC22"
"ZNF263","NUP214"
"ZNF263","PRR7"
"ZNF263","THAP7"
"ZNF263","ZNF34"
"ZNF263","HMGA2"
"ZNF263","TRIM11"
"ZNF263","TSC22D4"
"ZNF263","PPP1R14C"
"ZNF263","ARPC5L"
"ZNF263","LZTR1"
"ZNF263","NUF2"
"ZNF263","AIF1L"
"ZNF263","TRAPPC9"
"ZNF263","ADGRV1"
"ZNF263","TMEM164"
"ZNF263","MEX3B"
"ZNF263","LTBP4"
"ZNF263","CAMKK1"
"ZNF263","EFCAB2"
"ZNF263","DDI2"
"ZNF263","HES7"
"ZNF263","SLC9A7"
"ZNF263","CREB3L3"
"ZNF263","TUBA1C"
"ZNF263","C19orf48"
"ZNF263","CROCCP2"
"ZNF263","TRIM52"
"ZNF263","LINGO1"
"ZNF263","PLXDC2"
"ZNF263","FIBCD1"
"ZNF263","PPM1D"
"ZNF263","PDXK"
"ZNF263","KHSRP"
"ZNF263","PLPP3"
"ZNF263","CDK13"
"ZNF263","SSNA1"
"ZNF263","EIF3G"
"ZNF263","STX16"
"ZNF263","RGS9"
"ZNF263","DLK1"
"ZNF263","SYNJ2"
"ZNF263","CCND2"
"ZNF263","TOP3B"
"ZNF263","ACVR1"
"ZNF263","RNF8"
"ZNF263","TRIM41"
"ZNF263","SCARF2"
"ZNF263","GGTLC2"
"ZNF263","SLC16A3"
"ZNF263","SLC39A13"
"ZNF263","P2RX6"
"ZNF263","XPR1"
"ZNF263","ITGB1BP1"
"ZNF263","ADGRG1"
"ZNF263","HNRNPLL"
"ZNF263","TCEAL1"
"ZNF263","SNAP29"
"ZNF263","LHX2"
"ZNF263","PAXBP1"
"ZNF263","TJP2"
"ZNF263","GGPS1"
"ZNF263","HOMER1"
"ZNF263","BAG3"
"ZNF263","RNF14"
"ZNF263","RAB36"
"ZNF263","PPM1F"
"ZNF263","HS2ST1"
"ZNF263","PDE4DIP"
"ZNF263","ZNF646"
