V1,V2
TRIM28,TM4SF5
TRIM28,SNAP29
TRIM28,RAB36
TRIM28,COMT
TRIM28,MRPL40
TRIM28,GGTLC2
TRIM28,PDE4DIP
TRIM28,GPC6
TRIM28,TXNRD2
TRIM28,MAPRE2
TRIM28,ZNF501
TRIM28,ZNF792
TRIM28,ADH6
TRIM28,ZNF572
TRIM28,NOTUM
TRIM28,RBM33
TRIM28,FABP3
TRIM28,GPC5
TRIM28,HIST1H2AD
TRIM28,HP
TRIM28,IRF2BP2
TRIM28,ST20
TRIM28,MKLN1
TRIM28,MTTP
TRIM28,PCDH9
TRIM28,PCMT1
TRIM28,PIK3CB
TRIM28,TESC
TRIM28,ARHGEF10L
TRIM28,PRKAR2B
TRIM28,TLE4
TRIM28,TTR
TRIM28,FAM155A
TRIM28,ASPSCR1
TRIM28,ZNF436
TRIM28,HIST1H4I
TRIM28,HIST1H2BF
TRIM28,HIST1H3D
TRIM28,IMMP2L
TRIM28,KRBA1
TRIM28,HIST1H2AG
TRIM28,CD7
TRIM28,FANK1
TRIM28,SEC22B
TRIM28,TATDN2
TRIM28,CBX1
TRIM28,CBX5
TRIM28,CHD3
TRIM28,SPG7
TRIM28,VIM
TRIM28,ZNF10
TRIM28,ZNF197
TRIM28,ZNF354A
TRIM28,ZNF689
TRIM28,ZNF74
CEBPB,BATF
CEBPB,CTCF
CEBPB,CTCFL
CEBPB,EGR1
CEBPB,EP300
CEBPB,ESR1
CEBPB,FOS
CEBPB,GATA1
CEBPB,NR3C1
CEBPB,FOXA2
CEBPB,HNF4A
CEBPB,HSF1
CEBPB,IRF4
CEBPB,JUND
CEBPB,MAX
CEBPB,MXI1
CEBPB,MYC
CEBPB,ATF3
CEBPB,NFE2
CEBPB,NFKB1
CEBPB,ZBTB7A
CEBPB,POU5F1
CEBPB,BDP1
CEBPB,RAD21
CEBPB,RXRA
CEBPB,PRDM1
CEBPB,SMARCA4
CEBPB,SMARCB1
CEBPB,SMARCC1
CEBPB,SP1
CEBPB,SPI1
CEBPB,BRCA1
CEBPB,SREBF1
CEBPB,SREBF2
CEBPB,SRF
CEBPB,STAT3
CEBPB,TAL1
CEBPB,TCF4
CEBPB,TCF12
CEBPB,TFAP2A
CEBPB,USF1
CEBPB,YY1
CEBPB,FOSL1
CEBPB,BHLHE40
CEBPB,SMC3
CEBPB,TP53
CEBPB,STAT5A
CEBPB,RELA
CEBPB,PPARG
CEBPB,ELK1
CEBPB,CREB1
CEBPB,STAT6
CEBPB,STAT5B
CEBPB,SMAD4
CEBPB,SMAD3
CEBPB,SMAD1
CEBPB,PAX6
CEBPB,MYB
CEBPB,E2F2
CEBPB,CEBPA
CEBPB,ATF4
CEBPB,ATF2
CEBPB,XBP1
CEBPB,SMAD7
CEBPB,SMAD6
CEBPB,RUNX1
CEBPB,RBPJ
CEBPB,NR2F2
CEBPB,NFIL3
CEBPB,CLEC5A
CEBPB,MEIS1
CEBPB,MAPK3
CEBPB,MAPK1
CEBPB,LMO2
CEBPB,JUP
CEBPB,HOXD8
